model,log,alg,time,mgtime,tcgtime,subtime,altime,aligntime,precomptime
h--100--all-30,log,tcg,195,2,177,2,1,3,179
h--100--all-50,log,tcg,193,2,174,1,2,4,176
h--100--all-70,log,tcg,188,1,172,1,2,3,173
h--1000--all-10,log,tcg,282,1,170,12,11,25,171
h--1000--all-30,log,tcg,289,1,171,13,13,33,172
h--1000--all-50,log,tcg,310,2,169,20,12,40,171
h--1000--all-70,log,tcg,293,2,173,13,14,34,175
h--10000--all-10,log,tcg,1322,1,199,130,104,251,200
h--10000--all-30,log,tcg,1306,1,193,140,114,272,194
h--10000--all-50,log,tcg,1278,1,194,128,116,264,195
h--10000--all-70,log,tcg,1493,1,161,318,120,461,162
i--10--all-10,log,tcg,65,1,58,0,1,1,59
i--10--all-30,log,tcg,64,1,58,0,0,0,59
i--10--all-50,log,tcg,65,1,59,0,0,0,60
i--10--all-70,log,tcg,65,1,60,0,0,0,61
i--100--all-10,log,tcg,75,1,59,2,1,3,60
i--100--all-30,log,tcg,73,1,58,1,1,3,59
i--100--all-50,log,tcg,74,1,58,1,1,3,59
i--100--all-70,log,tcg,76,0,59,2,1,4,59
i--1000--all-10,log,tcg,172,1,58,14,8,30,59
i--1000--all-30,log,tcg,191,0,68,16,9,29,68
i--1000--all-50,log,tcg,176,1,57,14,9,33,58
i--1000--all-70,log,tcg,198,0,60,16,9,32,60
i--10000--all-10,log,tcg,1233,0,59,169,72,288,59
i--10000--all-30,log,tcg,1282,0,54,168,78,269,54
i--10000--all-50,log,tcg,1377,0,55,317,80,429,55
i--10000--all-70,log,tcg,1236,0,55,178,81,297,55
