model,log,alg,time
g-45-20-20-10-5--20-20-20--10--25--16--rem-30,log,A*-sync,32
g-45-20-20-10-5--20-20-20--10--25--3--add-70,log,A*-sync,159
g-45-20-20-10-5--20-20-20--10--25--5--all-50,log,A*-sync,2919
g-45-20-20-10-5--20-20-20--10--75--27--all-30,log,A*-sync,50603
g-45-20-20-10-5--20-20-20--10--50--8--add-10,log,A*-sync,73
g-45-20-20-10-5--20-20-20--10--50--28--rem-70,log,A*-sync,11
g-45-20-20-10-5--20-20-20--10--25--8--rem-70,log,A*-sync,42
g-45-20-20-10-5--20-20-20--10--25--15--rem-70,log,A*-sync,566
g-45-20-20-10-5--20-20-20--10--75--8--rem-30,log,A*-sync,6099
g-45-20-20-10-5--20-20-20--10--75--18--rem-70,log,A*-sync,84
g-45-20-20-10-5--20-20-20--10--75--15--rem-70,log,A*-sync,164
g-45-20-20-10-5--20-20-20--10--25--12--rem-70,log,A*-sync,20
g-45-20-20-10-5--20-20-20--10--75--13--all-30,log,A*-sync,129
g-45-20-20-10-5--20-20-20--10--75--17--rem-30,log,A*-sync,12782
g-45-20-20-10-5--20-20-20--10--25--9--add-70,log,A*-sync,83
g-45-20-20-10-5--20-20-20--10--50--19--all-30,log,A*-sync,56701
g-45-20-20-10-5--20-20-20--10--75--7--add-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--25--14--all-10,log,A*-sync,16
g-45-20-20-10-5--20-20-20--10--50--5--add-70,log,A*-sync,29387
g-45-20-20-10-5--20-20-20--10--75--20--all-70,log,A*-sync,179
g-45-20-20-10-5--20-20-20--10--75--1--all-70,log,A*-sync,41
g-45-20-20-10-5--20-20-20--10--75--3--add-30,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--25--9--all-30,log,A*-sync,140
g-45-20-20-10-5--20-20-20--10--50--2--all-30,log,A*-sync,20120
g-45-20-20-10-5--20-20-20--10--50--12--rem-50,log,A*-sync,49
g-45-20-20-10-5--20-20-20--10--50--11--all-50,log,A*-sync,31
g-45-20-20-10-5--20-20-20--10--50--16--all-30,log,A*-sync,22
g-45-20-20-10-5--20-20-20--10--75--24--rem-50,log,A*-sync,153
g-45-20-20-10-5--20-20-20--10--75--7--rem-30,log,A*-sync,3316
g-45-20-20-10-5--20-20-20--10--50--16--add-70,log,A*-sync,18
g-45-20-20-10-5--20-20-20--10--75--27--all-10,log,A*-sync,436
g-45-20-20-10-5--20-20-20--10--75--7--all-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--75--12--add-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--75--23--all-50,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--25--23--all-50,log,A*-sync,32
g-45-20-20-10-5--20-20-20--10--25--26--rem-30,log,A*-sync,42
g-45-20-20-10-5--20-20-20--10--25--25--all-10,log,A*-sync,59
g-45-20-20-10-5--20-20-20--10--25--4--rem-30,log,A*-sync,34
g-45-20-20-10-5--20-20-20--10--50--24--rem-30,log,A*-sync,12
g-45-20-20-10-5--20-20-20--10--50--23--add-30,log,A*-sync,52694
